id	age	height	weight	dash	bench	military	team
0	17	69	135	20.65	96	67	n
1	17	61	NA	13.58	102	71	n
2	16	73	NA	16.39	95	66	n
3	17	68	NA	13.11	96	67	n
4	17	69	181	14.92	104	72	y
5	17	73	143	17.14	81	56	n
6	18	58	147	17.34	104	72	n
7	17	71	164	13.13	90	62	n
8	16	70	NA	15.48	100	70	n
9	18	68	NA	13.63	104	72	n
10	17	76	NA	15.17	100	70	n
11	17	70	NA	12.05	104	72	n
12	17	69	NA	16.33	101	70	n
13	17	71	164	15.63	88	61	n
14	17	64	NA	12.52	84	58	n
15	17	70	149	19.5	95	66	n
16	16	67	NA	13.28	84	58	n
17	17	64	NA	14.9	96	67	n
18	17	68	148	11.58	99	69	n
19	16	64	NA	11.03	97	67	y
20	17	70	161	14.84	103	72	n
21	17	72	NA	12.81	101	70	y
22	17	76	NA	16.53	90	62	n
23	16	66	NA	11.28	100	70	y
24	18	68	NA	13.83	81	56	n
25	17	64	NA	12.29	95	66	n
26	17	69	144	7.88	96	67	n
27	18	67	NA	16.46	87	60	n
28	17	70	NA	16.18	92	64	n
29	17	71	NA	15.23	87	60	n
30	19	61	NA	13.34	102	71	n
31	18	63	171	14.57	95	66	n
32	17	61	NA	16.14	106	74	n
33	17	70	NA	13.89	112	78	y
34	17	68	NA	16.26	87	60	n
35	17	80	NA	15.83	96	67	y
36	17	64	NA	10.89	93	65	y
37	17	72	152	18.18	89	62	n
38	16	74	190	12.13	105	73	y
39	17	70	184	16.78	98	68	y
40	16	62	147	16.87	98	68	n
41	16	70	133	13.3	86	60	n
42	15	61	185	14.49	99	69	n
43	15	72	153	18.11	94	65	n
44	17	68	NA	13.66	84	58	n
45	17	66	167	10.18	101	70	y
46	17	71	185	16.49	101	70	n
47	16	65	NA	16.3	99	69	n
48	17	67	191	12.58	114	79	y
49	17	59	158	14.57	95	66	n
50	17	72	157	15.87	113	79	n
51	17	63	NA	15.11	101	70	y
52	17	69	177	17.03	104	72	y
53	16	74	NA	15.81	88	61	n
54	17	70	151	16.83	102	71	n
55	17	72	NA	15.45	103	72	n
56	17	75	157	13.25	107	74	n
57	17	73	NA	10.05	101	70	y
58	19	67	186	13.41	110	77	y
59	17	68	171	19.11	96	67	n
60	17	63	154	15.51	106	74	n
61	17	68	158	15.95	95	66	n
62	16	63	NA	11.48	104	72	y
63	17	72	NA	15.15	100	70	y
64	17	65	NA	16.66	108	75	n
65	17	62	163	13.17	105	73	n
66	17	68	NA	13.57	100	70	y
67	17	70	NA	14.51	97	67	n
68	17	71	171	15.14	110	77	y
69	17	68	NA	16.56	91	63	n
70	17	63	149	16.52	95	66	n
71	17	65	162	14.91	95	66	n
72	17	68	162	15.82	84	58	n
73	17	66	185	12.23	106	74	y
74	17	68	174	13.73	98	68	n
75	17	64	NA	14.23	94	65	n
76	17	69	178	15.89	116	81	y
77	17	67	NA	14.83	95	66	n
78	17	72	NA	13.79	95	66	n
79	16	67	NA	18.51	112	78	y
80	18	68	NA	15.66	86	60	n
81	17	71	169	14.53	104	72	n
82	17	68	149	14.69	92	64	n
83	17	72	NA	14.57	112	78	y
84	17	75	NA	13.11	107	74	y
85	17	61	NA	9.89	102	71	y
86	17	68	176	12.57	87	60	n
87	17	62	NA	12.71	86	60	n
88	19	67	180	15.5	98	68	n
89	17	65	152	11.93	112	78	y
90	17	66	155	14.97	88	61	n
91	17	67	174	15.2	95	66	n
92	16	70	177	14.72	92	64	n
93	17	66	NA	19.71	83	58	n
94	19	71	NA	15	85	59	n
95	18	70	183	17.34	104	72	y
96	17	66	161	16.37	92	64	n
97	17	71	NA	15.6	101	70	n
98	17	74	173	14.28	102	71	y
99	19	68	NA	14.96	91	63	n
100	18	68	166	12.88	86	60	n
101	17	71	NA	13.43	106	74	y
102	15	77	NA	13.09	108	75	y
103	16	64	150	16.4	89	62	n
104	17	78	NA	17.98	90	62	n
105	17	64	172	17.99	85	59	n
106	17	72	180	13.39	107	74	y
107	17	70	NA	17.21	86	60	n
108	17	66	162	17.51	87	60	n
109	17	67	NA	13.86	88	61	n
110	18	68	153	11.87	78	54	n
111	17	68	151	15.29	84	58	n
112	17	67	162	14.01	92	64	n
113	17	68	177	14.85	89	62	n
114	17	60	165	14.77	77	53	n
115	16	69	NA	18.53	75	52	n
116	17	75	NA	14.32	113	79	y
