id age height weight dash bench military team
80 18 68 NA 15.66 86 60 n
27 18 67 NA 16.46 87 60 n
42 15 61 185 14.49 99 69 n
40 16 62 147 16.87 98 68 n
97 17 71 NA 15.6 101 70 n
47 16 65 NA 16.3 99 69 n
102 15 77 NA 13.09 108 75 y
87 17 62 NA 12.71 86 60 n
31 18 63 171 14.57 95 66 n
34 17 68 NA 16.26 87 60 n
143 17 65 165 15.44 87 60 n
2 16 73 NA 16.39 95 66 n
90 17 66 155 14.97 88 61 n
115 16 69 NA 18.53 75 52 n
85 17 61 NA 9.89 102 71 y
3 17 68 NA 13.11 96 67 n
64 17 65 NA 16.66 108 75 n
41 16 70 133 13.3 86 60 n
147 18 68 NA 13.51 97 67 n
160 17 59 171 17.04 84 58 n

