"age" "height" "weight" "pulse" "drink" "edu" "fitbit" "bike" "eval" "coach" "lost"
56 67 195 66 y n y n n n n
34 68 175 51 y y n n n n n
41 64 169 77 y y n n y y n
40 62 167 58 n y n n n n n
66 61 142 54 n n n n n n n
36 71 141 68 n y n n n n n
32 68 193 55 y n y n y n n
35 67 166 45 y n n n n n n
51 70 212 46 y y n y n n n
63 67 159 64 y y y n n n y
29 73 163 61 y y y y y y n
37 72 224 83 n n n n y y y
36 70 140 69 y y n y y n n
41 70 188 73 n y n n y y n
44 65 153 74 n y y n n n y
53 64 187 53 n y n n n n n
37 64 156 51 y n n y n n y
54 68 162 54 y y n n n n n
48 66 163 50 y y n y n y y
47 67 191 53 n y n y n n n
44 66 191 69 y n n n y n y
51 69 217 54 y n n y n n n
45 73 190 70 n y y n n n y
36 72 229 70 n y n n y n y
52 65 167 50 n y y y n y y
54 77 283 77 y n n n n y n
50 71 229 70 y y n y n n n
49 68 200 67 y y n n n n n
38 67 155 66 y y y n n n y
49 68 160 53 n y n y n n y
37 68 169 61 n y n n y n n
40 62 158 68 n n n n y n n
51 69 207 51 y y n n n y y
48 69 171 50 n y y n n n n
40 71 199 61 y y n n n y n
47 66 186 68 n y n n n n n
44 74 260 42 n n n n n n n
41 68 177 61 y y y n n n n
56 68 175 58 y y n n n y n
32 73 244 74 n y n n n n n
37 73 208 52 y y y y n n y
37 69 187 44 n y y y n y y
42 69 205 61 n y y y y n n
36 61 164 58 y y n y n n n
41 63 146 78 n y n n n n n
44 70 227 73 n y y n n n y
51 71 234 77 y y n n n y n
38 75 197 71 y n y y n n y
51 66 156 54 n y n n n n n
59 73 213 68 n n y n n y y
40 64 145 48 n n y n n y y
39 68 193 73 y y n n n n n
53 68 200 66 n n y n y n n
42 71 214 70 y y n n n n n
50 62 162 75 y n n n y n y
56 67 160 75 n y n n n n n
43 68 129 63 n y n y y n n
45 70 190 60 n n n y n n n
49 69 198 70 n y n n n n n
40 63 153 42 y n n y n n y
45 70 208 46 y n n y n n y
48 67 194 52 y y n y n y y
55 68 135 55 y n y n n n n
36 62 143 47 n n n n n n y
54 65 198 48 n y n y n n y
52 67 165 72 n n y y n n y
38 68 201 73 y y n n y n y
50 68 218 56 y y y n n y n
49 66 150 68 n n y n n n y
24 70 204 71 y y n n n n n
49 68 216 47 n y y n n n n
41 63 113 53 y n y n n y n
41 69 165 73 n y n n n n n
42 68 179 61 n n n y y n n
45 68 163 60 n y y y y n n
33 70 205 72 n n n n n n n
60 64 173 77 n y n n y n y
37 73 151 52 y y n y y n n
42 65 168 70 y n y n n y y
43 67 176 53 y n n n n n n
46 74 249 68 n n n y n n n
53 67 208 63 n n n n n y y
38 68 131 63 n y y n y n n
46 71 237 44 n y n y y n y
39 77 238 69 y y n n y n n
32 65 128 52 y y n y n n n
53 65 161 60 n y n n y n n
44 67 160 69 n y y n n n y
